"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"781",13,"Sarawak",14,"Julau","1314",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",13,"Sarawak",14,"Julau","1314",1980,26240,12930,13310,26240,NA,NA,155,24863,1212,6,4,11418,14013,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26240
"783",13,"Sarawak",14,"Julau","1314",1991,28104,13661,14443,28081,23,0.686269508876376,276,26514,1265,20,6,10938,15813,1353,6763,12269,1299,412,393,11371,292,21,14650,1363,NA,NA,0,28104
"784",13,"Sarawak",14,"Julau","1314",2000,31723,16185,15538,31702,21,1.2113005488454,253,30422,1021,4,2,11383,18592,1748,4356,14178,1438,368,436,15654,280,7,14131,1215,NA,NA,0,31723
"785",13,"Sarawak",14,"Julau","1314",2010,15449,7658,7791,15419,30,-7.19497693518154,245,14717,435,7,15,4975,9223,1251,2288,7298,722,166,395,9828,164,0,4331,731,NA,NA,0,15449
"786",13,"Sarawak",14,"Julau","1314",2020,15333,7613,7720,15313,20,-0.075369078756604,247,14635,412,2,17,3497,10196,1640,3000,7574,915,347,343,14164,193,0,196,437,1703.39,9.00146179089932,0,15333
"787",13,"Sarawak",15,"Sibu","1315",1970,67380,33908,33472,67380,NA,NA,7870,20742,38249,0,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788",13,"Sarawak",15,"Sibu","1315",1980,130559,63986,66573,130559,NA,6.61476993894332,13762,35394,80938,290,175,53258,72755,4546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85231,45328
"789",13,"Sarawak",15,"Sibu","1315",1991,170399,83877,86522,168045,2354,2.66317513960656,17403,52530,97663,287,162,60671,103098,6630,56632,66005,4584,789,30722,76597,16140,207,15785,29795,NA,NA,133479,36920
"790",13,"Sarawak",15,"Sibu","1315",2000,210118,104814,105304,202946,7172,2.09526531836611,20401,68268,114041,106,130,69023,132605,8490,46545,89881,3988,681,40179,109747,27115,125,12527,20425,NA,NA,167427,42691
"791",13,"Sarawak",15,"Sibu","1315",2010,240165,123143,117022,226004,14161,1.33656909452122,24110,86578,113422,720,1174,66355,160988,12822,56300,110767,5477,1266,49990,119773,40556,254,14181,15411,NA,NA,200546,39619
"792",13,"Sarawak",15,"Sibu","1315",2020,248064,127822,120242,234837,13227,0.32360590266064,24559,94913,114477,248,640,51862,176042,20160,66288,110833,9724,4076,50017,149067,34328,212,864,13576,2229.75,111.251934073327,209898,38166
"793",13,"Sarawak",16,"Dalat","1316",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794",13,"Sarawak",16,"Dalat","1316",1980,20160,9664,10496,20160,NA,NA,326,17926,1898,6,4,9019,10337,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20160
"795",13,"Sarawak",16,"Dalat","1316",1991,24296,11626,12670,24277,19,1.8661128454028,1252,21313,1700,3,9,9591,13280,1425,7285,9076,1142,247,8787,6681,424,5,7219,1136,NA,NA,0,24296
"796",13,"Sarawak",16,"Dalat","1316",2000,23462,11358,12104,23386,76,-0.34929636659919,402,21561,1417,3,3,9049,12767,1646,4067,9207,921,218,7837,7943,540,2,6542,598,NA,NA,0,23462
"797",13,"Sarawak",16,"Dalat","1316",2010,18523,8917,9606,18273,250,-2.36368887942943,460,16539,1250,11,13,6453,10444,1626,4016,7166,792,96,8644,6134,723,0,1403,1619,NA,NA,0,18523
"798",13,"Sarawak",16,"Dalat","1316",2020,21147,10932,10215,18328,2819,1.32484848319262,684,16498,1130,4,12,4771,14266,2110,5823,9199,1058,296,12363,6745,520,2,23,1494,905.29,23.3593655071855,0,21147
"799",13,"Sarawak",17,"Mukah","1317",1970,47425,22821,24604,47425,NA,NA,543,41818,4985,0,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",13,"Sarawak",17,"Mukah","1317",1980,33205,16543,16662,33205,NA,-3.56449048828401,591,29597,2992,14,11,14441,17610,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33205
"801",13,"Sarawak",17,"Mukah","1317",1991,41831,22509,19322,41595,236,2.30937224463033,1879,35595,4077,29,15,14653,25352,1826,13182,16753,1539,306,9796,13181,1044,13,14614,3095,NA,NA,0,41831
"802",13,"Sarawak",17,"Mukah","1317",2000,44837,23054,21783,44220,617,0.693959999605306,1309,39579,3257,15,60,15796,26541,2500,8382,18846,1516,297,11161,17742,1183,15,9897,4839,NA,NA,0,44837
"803",13,"Sarawak",17,"Mukah","1317",2010,41481,22677,18804,37688,3793,-0.7779820034165,2851,31157,3533,50,97,11049,28216,2216,11908,17180,1142,202,17551,14683,2082,41,3986,3138,NA,NA,16743,24738
"804",13,"Sarawak",17,"Mukah","1317",2020,42275,22424,19851,37737,4538,0.189604037100534,3160,31326,3140,28,83,9719,29872,2684,11721,18954,1426,455,19930,17566,1708,58,1216,1797,2536,16.669952681388,17025,25250
"805",13,"Sarawak",18,"Kanowit","1318",1970,28235,13978,14257,28235,NA,NA,96,26794,1325,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806",13,"Sarawak",18,"Kanowit","1318",1980,26690,13056,13634,26690,NA,-0.562733797083672,759,21205,4718,3,5,11647,13986,1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26690
